Module	SS	value
M47.0	Lin	58.49
M47.0	Nunivers	64.15
M47.0	AIC	60.38
M47.0	DAVID	37.735849056603776
M89.1	DF	100.00
M89.1	Ganesan	0.00
M89.1	LC	0.00
M89.1	PS	0.00
M89.1	Zhou	70.00
M89.1	Resnik	80.00
M89.1	Lin	70.00
M89.1	Nunivers	100.00
M89.1	AIC	100.00
M89.1	DAVID	90.0
M89.0	DF	87.50
M89.0	Ganesan	93.75
M89.0	LC	0.00
M89.0	PS	25.00
M89.0	Zhou	0.00
M89.0	Resnik	75.00
M89.0	Lin	93.75
M89.0	Nunivers	87.50
M89.0	AIC	87.50
M89.0	DAVID	81.25
M22.1	DF	100.00
M22.1	Ganesan	30.77
M22.1	LC	0.00
M22.1	PS	0.00
M22.1	Zhou	0.00
M22.1	Resnik	100.00
M22.1	Lin	100.00
M22.1	Nunivers	100.00
M22.1	AIC	100.00
M22.1	DAVID	100.0
M22.0	DF	85.19
M22.0	Ganesan	70.37
M22.0	LC	33.33
M22.0	PS	88.89
M22.0	Zhou	0.00
M22.0	Resnik	88.89
M22.0	Lin	88.89
M22.0	Nunivers	85.19
M22.0	AIC	77.78
M22.0	DAVID	81.48148148148148
M37.3	DF	50.00
M37.3	Ganesan	50.00
M37.3	LC	0.00
M37.3	PS	50.00
M37.3	Zhou	0.00
M37.3	Resnik	50.00
M37.3	Lin	70.00
M37.3	Nunivers	70.00
M37.3	AIC	0.00
M37.3	DAVID	70.0
M37.2	DF	78.95
M37.2	Ganesan	78.95
M37.2	LC	0.00
M37.2	PS	78.95
M37.2	Zhou	0.00
M37.2	Resnik	84.21
M37.2	Lin	84.21
M37.2	Nunivers	78.95
M37.2	AIC	84.21
M37.2	DAVID	57.89473684210527
M37.1	DF	65.38
M37.1	Ganesan	76.92
M37.1	LC	0.00
M37.1	PS	71.15
M37.1	Zhou	0.00
M37.1	Resnik	55.77
M37.1	Lin	57.69
M37.1	Nunivers	63.46
M37.1	AIC	69.23
M37.1	DAVID	53.84615384615385
M37.0	DF	80.98
M37.0	Ganesan	80.69
M37.0	LC	78.96
M37.0	PS	80.40
M37.0	Zhou	0.00
M37.0	Resnik	74.35
M37.0	Lin	78.10
M37.0	Nunivers	79.83
M37.0	AIC	79.54
M37.0	DAVID	68.87608069164266
S9	DF	16.22
S9	Ganesan	40.54
S9	LC	0.00
S9	PS	48.65
S9	Zhou	0.00
S9	Resnik	43.24
S9	Lin	43.24
S9	Nunivers	21.62
S9	AIC	29.73
S9	DAVID	40.54054054054054
S8	DF	59.26
S8	Ganesan	68.52
S8	LC	0.00
S8	PS	66.67
S8	Zhou	0.00
S8	Resnik	55.56
S8	Lin	55.56
S8	Nunivers	59.26
S8	AIC	59.26
S8	DAVID	61.111111111111114
S7	DF	0.00
S7	Ganesan	0.00
S7	LC	0.00
S7	PS	30.77
S7	Zhou	0.00
S7	Resnik	30.77
S7	Lin	0.00
S7	Nunivers	0.00
S7	AIC	0.00
S7	DAVID	15.384615384615385
S6	DF	0.00
S6	Ganesan	0.00
S6	LC	0.00
S6	PS	0.00
S6	Zhou	0.00
S6	Resnik	44.44
S6	Lin	0.00
S6	Nunivers	0.00
S6	AIC	0.00
S6	DAVID	44.44444444444444
S5	DF	73.17
S5	Ganesan	73.17
S5	LC	14.63
S5	PS	71.95
S5	Zhou	6.10
S5	Resnik	71.95
S5	Lin	69.51
S5	Nunivers	73.17
S5	AIC	74.39
S5	DAVID	69.51219512195121
S4	DF	77.66
S4	Ganesan	77.66
S4	LC	70.21
S4	PS	5.32
S4	Zhou	26.60
S4	Resnik	74.47
S4	Lin	70.21
S4	Nunivers	77.66
S4	AIC	75.53
S4	DAVID	65.95744680851064
S3	DF	50.00
S3	Ganesan	66.67
S3	LC	0.00
S3	PS	70.83
S3	Zhou	0.00
S3	Resnik	58.33
S3	Lin	66.67
S3	Nunivers	62.50
S3	AIC	50.00
S3	DAVID	37.5
S2	DF	73.37
S2	Ganesan	76.92
S2	LC	73.96
S2	PS	75.74
S2	Zhou	8.88
S2	Resnik	63.91
S2	Lin	74.56
S2	Nunivers	73.96
S2	AIC	72.78
S2	DAVID	71.00591715976331
S1	DF	81.25
S1	Ganesan	85.42
S1	LC	18.75
S1	PS	85.42
S1	Zhou	18.75
S1	Resnik	83.33
S1	Lin	81.25
S1	Nunivers	83.33
S1	AIC	83.33
S1	DAVID	77.08333333333334
S0	DF	48.15
S0	Ganesan	0.00
S0	LC	0.00
S0	PS	0.00
S0	Zhou	0.00
S0	Resnik	66.67
S0	Lin	48.15
S0	Nunivers	62.96
S0	AIC	62.96
S0	DAVID	59.25925925925925
M250	DF	91.67
M250	Ganesan	91.67
M250	LC	58.33
M250	PS	91.67
M250	Zhou	58.33
M250	Resnik	91.67
M250	Lin	91.67
M250	Nunivers	91.67
M250	AIC	91.67
M250	DAVID	91.66666666666666
M27.1	DF	100.00
M27.1	Ganesan	100.00
M27.1	LC	100.00
M27.1	PS	100.00
M27.1	Zhou	100.00
M27.1	Resnik	100.00
M27.1	Lin	100.00
M27.1	Nunivers	100.00
M27.1	AIC	100.00
M27.1	DAVID	100.0
M27.0	DF	96.15
M27.0	Ganesan	96.15
M27.0	LC	96.15
M27.0	PS	96.15
M27.0	Zhou	96.15
M27.0	Resnik	96.15
M27.0	Lin	96.15
M27.0	Nunivers	96.15
M27.0	AIC	96.15
M27.0	DAVID	96.15384615384616
M118.1	DF	70.59
M118.1	Ganesan	52.94
M118.1	LC	0.00
M118.1	PS	70.59
M118.1	Zhou	0.00
M118.1	Resnik	41.18
M118.1	Lin	52.94
M118.1	Nunivers	52.94
M118.1	AIC	70.59
M118.1	DAVID	52.94117647058824
M118.0	DF	78.95
M118.0	Ganesan	80.70
M118.0	LC	73.68
M118.0	PS	77.19
M118.0	Zhou	0.00
M118.0	Resnik	77.19
M118.0	Lin	82.46
M118.0	Nunivers	78.95
M118.0	AIC	80.70
M118.0	DAVID	52.63157894736842
M145.1	DF	0.00
M145.1	Ganesan	0.00
M145.1	LC	0.00
M145.1	PS	28.57
M145.1	Zhou	0.00
M145.1	Resnik	0.00
M145.1	Lin	0.00
M145.1	Nunivers	0.00
M145.1	AIC	0.00
M145.1	DAVID	57.14285714285714
M145.0	DF	0.00
M145.0	Ganesan	0.00
M145.0	LC	0.00
M145.0	PS	0.00
M145.0	Zhou	0.00
M145.0	Resnik	25.00
M145.0	Lin	0.00
M145.0	Nunivers	0.00
M145.0	AIC	0.00
M145.0	DAVID	43.75
M249	DF	0.00
M249	Ganesan	0.00
M249	LC	0.00
M249	PS	0.00
M249	Zhou	0.00
M249	Resnik	0.00
M249	Lin	0.00
M249	Nunivers	0.00
M249	AIC	0.00
M249	DAVID	0.0
M248	DF	0.00
M248	Ganesan	0.00
M248	LC	0.00
M248	PS	0.00
M248	Zhou	0.00
M248	Resnik	0.00
M248	Lin	0.00
M248	Nunivers	0.00
M248	AIC	0.00
M248	DAVID	0.0
M247	DF	0.00
M247	Ganesan	0.00
M247	LC	0.00
M247	PS	0.00
M247	Zhou	0.00
M247	Resnik	0.00
M247	Lin	0.00
M247	Nunivers	0.00
M247	AIC	0.00
M247	DAVID	0.0
M246	DF	0.00
M246	Ganesan	0.00
M246	LC	0.00
M246	PS	0.00
M246	Zhou	0.00
M246	Resnik	0.00
M246	Lin	0.00
M246	Nunivers	0.00
M246	AIC	0.00
M246	DAVID	0.0
M245	DF	46.15
M245	Ganesan	0.00
M245	LC	0.00
M245	PS	0.00
M245	Zhou	0.00
M245	Resnik	0.00
M245	Lin	0.00
M245	Nunivers	69.23
M245	AIC	46.15
M245	DAVID	38.46153846153847
M244	DF	0.00
M244	Ganesan	0.00
M244	LC	0.00
M244	PS	0.00
M244	Zhou	0.00
M244	Resnik	0.00
M244	Lin	0.00
M244	Nunivers	0.00
M244	AIC	0.00
M244	DAVID	0.0
M243	DF	0.00
M243	Ganesan	0.00
M243	LC	0.00
M243	PS	0.00
M243	Zhou	0.00
M243	Resnik	0.00
M243	Lin	0.00
M243	Nunivers	0.00
M243	AIC	0.00
M243	DAVID	0.0
M242	DF	0.00
M242	Ganesan	0.00
M242	LC	0.00
M242	PS	0.00
M242	Zhou	0.00
M242	Resnik	0.00
M242	Lin	0.00
M242	Nunivers	0.00
M242	AIC	0.00
M242	DAVID	100.0
M241	DF	0.00
M241	Ganesan	0.00
M241	LC	0.00
M241	PS	0.00
M241	Zhou	0.00
M241	Resnik	0.00
M241	Lin	0.00
M241	Nunivers	0.00
M241	AIC	0.00
M241	DAVID	100.0
M240	DF	41.18
M240	Ganesan	0.00
M240	LC	0.00
M240	PS	41.18
M240	Zhou	0.00
M240	Resnik	47.06
M240	Lin	47.06
M240	Nunivers	41.18
M240	AIC	41.18
M240	DAVID	29.411764705882355
M17.3	DF	100.00
M17.3	Ganesan	100.00
M17.3	LC	100.00
M17.3	PS	100.00
M17.3	Zhou	100.00
M17.3	Resnik	100.00
M17.3	Lin	100.00
M17.3	Nunivers	100.00
M17.3	AIC	100.00
M17.3	DAVID	100.0
M204.1	DF	80.00
M204.1	Ganesan	0.00
M204.1	LC	0.00
M204.1	PS	0.00
M204.1	Zhou	0.00
M204.1	Resnik	80.00
M204.1	Lin	80.00
M204.1	Nunivers	80.00
M204.1	AIC	90.00
M204.1	DAVID	70.0
M17.2	DF	100.00
M17.2	Ganesan	100.00
M17.2	LC	100.00
M17.2	PS	100.00
M17.2	Zhou	100.00
M17.2	Resnik	100.00
M17.2	Lin	100.00
M17.2	Nunivers	100.00
M17.2	AIC	100.00
M17.2	DAVID	100.0
M204.0	DF	57.14
M204.0	Ganesan	0.00
M204.0	LC	0.00
M204.0	PS	0.00
M204.0	Zhou	0.00
M204.0	Resnik	57.14
M204.0	Lin	57.14
M204.0	Nunivers	85.71
M204.0	AIC	85.71
M204.0	DAVID	64.28571428571429
M17.1	DF	83.33
M17.1	Ganesan	66.67
M17.1	LC	0.00
M17.1	PS	75.00
M17.1	Zhou	0.00
M17.1	Resnik	75.00
M17.1	Lin	83.33
M17.1	Nunivers	83.33
M17.1	AIC	91.67
M17.1	DAVID	75.0
M17.0	DF	75.00
M17.0	Ganesan	75.00
M17.0	LC	0.00
M17.0	PS	75.00
M17.0	Zhou	0.00
M17.0	Resnik	75.00
M17.0	Lin	75.00
M17.0	Nunivers	75.00
M17.0	AIC	0.00
M17.0	DAVID	75.0
M239	DF	0.00
M239	Ganesan	0.00
M239	LC	0.00
M239	PS	0.00
M239	Zhou	0.00
M239	Resnik	0.00
M239	Lin	0.00
M239	Nunivers	0.00
M239	AIC	0.00
M239	DAVID	13.333333333333334
M238	DF	35.29
M238	Ganesan	88.24
M238	LC	29.41
M238	PS	29.41
M238	Zhou	29.41
M238	Resnik	0.00
M238	Lin	94.12
M238	Nunivers	94.12
M238	AIC	35.29
M238	DAVID	94.11764705882352
M135.1	DF	0.00
M135.1	Ganesan	0.00
M135.1	LC	0.00
M135.1	PS	0.00
M135.1	Zhou	0.00
M135.1	Resnik	0.00
M135.1	Lin	0.00
M135.1	Nunivers	0.00
M135.1	AIC	0.00
M135.1	DAVID	0.0
M237	DF	76.47
M237	Ganesan	0.00
M237	LC	0.00
M237	PS	0.00
M237	Zhou	0.00
M237	Resnik	23.53
M237	Lin	23.53
M237	Nunivers	76.47
M237	AIC	0.00
M237	DAVID	58.82352941176471
M135.0	DF	31.25
M135.0	Ganesan	0.00
M135.0	LC	0.00
M135.0	PS	0.00
M135.0	Zhou	0.00
M135.0	Resnik	25.00
M135.0	Lin	25.00
M135.0	Nunivers	0.00
M135.0	AIC	0.00
M135.0	DAVID	25.0
M236	DF	0.00
M236	Ganesan	0.00
M236	LC	0.00
M236	PS	0.00
M236	Zhou	0.00
M236	Resnik	0.00
M236	Lin	0.00
M236	Nunivers	0.00
M236	AIC	0.00
M236	DAVID	0.0
M235	DF	26.32
M235	Ganesan	0.00
M235	LC	0.00
M235	PS	0.00
M235	Zhou	0.00
M235	Resnik	0.00
M235	Lin	0.00
M235	Nunivers	31.58
M235	AIC	47.37
M235	DAVID	31.57894736842105
M234	DF	35.71
M234	Ganesan	0.00
M234	LC	0.00
M234	PS	0.00
M234	Zhou	0.00
M234	Resnik	42.86
M234	Lin	42.86
M234	Nunivers	71.43
M234	AIC	35.71
M234	DAVID	64.28571428571429
M233	DF	0.00
M233	Ganesan	0.00
M233	LC	0.00
M233	PS	0.00
M233	Zhou	0.00
M233	Resnik	0.00
M233	Lin	0.00
M233	Nunivers	0.00
M233	AIC	0.00
M233	DAVID	0.0
M232	DF	53.85
M232	Ganesan	46.15
M232	LC	0.00
M232	PS	0.00
M232	Zhou	0.00
M232	Resnik	46.15
M232	Lin	46.15
M232	Nunivers	53.85
M232	AIC	0.00
M232	DAVID	46.15384615384615
M231	DF	0.00
M231	Ganesan	0.00
M231	LC	0.00
M231	PS	0.00
M231	Zhou	0.00
M231	Resnik	0.00
M231	Lin	63.64
M231	Nunivers	0.00
M231	AIC	0.00
M231	DAVID	81.81818181818183
M230	DF	33.33
M230	Ganesan	50.00
M230	LC	33.33
M230	PS	50.00
M230	Zhou	0.00
M230	Resnik	33.33
M230	Lin	33.33
M230	Nunivers	66.67
M230	AIC	33.33
M230	DAVID	33.33333333333333
M86.1	DF	84.62
M86.1	Ganesan	0.00
M86.1	LC	0.00
M86.1	PS	30.77
M86.1	Zhou	0.00
M86.1	Resnik	84.62
M86.1	Lin	92.31
M86.1	Nunivers	92.31
M86.1	AIC	84.62
M86.1	DAVID	76.92307692307693
M86.0	DF	89.47
M86.0	Ganesan	21.05
M86.0	LC	21.05
M86.0	PS	94.74
M86.0	Zhou	47.37
M86.0	Resnik	89.47
M86.0	Lin	89.47
M86.0	Nunivers	94.74
M86.0	AIC	89.47
M86.0	DAVID	89.47368421052632
M162.1	DF	36.36
M162.1	Ganesan	0.00
M162.1	LC	0.00
M162.1	PS	0.00
M162.1	Zhou	0.00
M162.1	Resnik	0.00
M162.1	Lin	0.00
M162.1	Nunivers	45.45
M162.1	AIC	36.36
M162.1	DAVID	45.45454545454545
M162.0	DF	55.56
M162.0	Ganesan	22.22
M162.0	LC	0.00
M162.0	PS	27.78
M162.0	Zhou	0.00
M162.0	Resnik	38.89
M162.0	Lin	55.56
M162.0	Nunivers	55.56
M162.0	AIC	0.00
M162.0	DAVID	44.44444444444444
M177.1	DF	0.00
M177.1	Ganesan	0.00
M177.1	LC	0.00
M177.1	PS	0.00
M177.1	Zhou	0.00
M177.1	Resnik	0.00
M177.1	Lin	0.00
M177.1	Nunivers	0.00
M177.1	AIC	0.00
M177.1	DAVID	100.0
M177.0	DF	0.00
M177.0	Ganesan	0.00
M177.0	LC	0.00
M177.0	PS	0.00
M177.0	Zhou	0.00
M177.0	Resnik	0.00
M177.0	Lin	0.00
M177.0	Nunivers	0.00
M177.0	AIC	0.00
M177.0	DAVID	0.0
M229	DF	0.00
M229	Ganesan	0.00
M229	LC	0.00
M229	PS	0.00
M229	Zhou	0.00
M229	Resnik	0.00
M229	Lin	0.00
M229	Nunivers	0.00
M229	AIC	0.00
M229	DAVID	100.0
M228	DF	38.46
M228	Ganesan	38.46
M228	LC	0.00
M228	PS	0.00
M228	Zhou	0.00
M228	Resnik	0.00
M228	Lin	0.00
M228	Nunivers	38.46
M228	AIC	0.00
M228	DAVID	38.46153846153847
M227	DF	40.00
M227	Ganesan	40.00
M227	LC	0.00
M227	PS	40.00
M227	Zhou	0.00
M227	Resnik	40.00
M227	Lin	40.00
M227	Nunivers	40.00
M227	AIC	0.00
M227	DAVID	20.0
M226	DF	91.67
M226	Ganesan	0.00
M226	LC	0.00
M226	PS	33.33
M226	Zhou	0.00
M226	Resnik	91.67
M226	Lin	91.67
M226	Nunivers	91.67
M226	AIC	0.00
M226	DAVID	91.66666666666666
M225	DF	40.00
M225	Ganesan	0.00
M225	LC	0.00
M225	PS	0.00
M225	Zhou	0.00
M225	Resnik	0.00
M225	Lin	0.00
M225	Nunivers	40.00
M225	AIC	0.00
M225	DAVID	80.0
M224	DF	72.73
M224	Ganesan	81.82
M224	LC	0.00
M224	PS	90.91
M224	Zhou	0.00
M224	Resnik	63.64
M224	Lin	54.55
M224	Nunivers	100.00
M224	AIC	81.82
M224	DAVID	100.0
M223	DF	46.15
M223	Ganesan	0.00
M223	LC	0.00
M223	PS	0.00
M223	Zhou	0.00
M223	Resnik	46.15
M223	Lin	46.15
M223	Nunivers	46.15
M223	AIC	0.00
M223	DAVID	30.76923076923077
M222	DF	0.00
M222	Ganesan	46.15
M222	LC	0.00
M222	PS	46.15
M222	Zhou	0.00
M222	Resnik	53.85
M222	Lin	0.00
M222	Nunivers	38.46
M222	AIC	0.00
M222	DAVID	53.84615384615385
M61.2	DF	100.00
M61.2	Ganesan	100.00
M61.2	LC	31.25
M61.2	PS	100.00
M61.2	Zhou	0.00
M61.2	Resnik	75.00
M61.2	Lin	100.00
M61.2	Nunivers	100.00
M61.2	AIC	100.00
M61.2	DAVID	100.0
M221	DF	0.00
M221	Ganesan	0.00
M221	LC	0.00
M221	PS	0.00
M221	Zhou	0.00
M221	Resnik	0.00
M221	Lin	0.00
M221	Nunivers	0.00
M221	AIC	0.00
M221	DAVID	100.0
M61.1	DF	76.92
M61.1	Ganesan	76.92
M61.1	LC	76.92
M61.1	PS	76.92
M61.1	Zhou	76.92
M61.1	Resnik	76.92
M61.1	Lin	76.92
M61.1	Nunivers	76.92
M61.1	AIC	76.92
M61.1	DAVID	76.92307692307693
M220	DF	0.00
M220	Ganesan	0.00
M220	LC	0.00
M220	PS	0.00
M220	Zhou	0.00
M220	Resnik	0.00
M220	Lin	0.00
M220	Nunivers	0.00
M220	AIC	0.00
M220	DAVID	0.0
M61.0	DF	66.67
M61.0	Ganesan	0.00
M61.0	LC	0.00
M61.0	PS	0.00
M61.0	Zhou	0.00
M61.0	Resnik	70.83
M61.0	Lin	62.50
M61.0	Nunivers	58.33
M61.0	AIC	66.67
M61.0	DAVID	75.0
M152.2	DF	0.00
M152.2	Ganesan	0.00
M152.2	LC	0.00
M152.2	PS	0.00
M152.2	Zhou	0.00
M152.2	Resnik	0.00
M152.2	Lin	0.00
M152.2	Nunivers	0.00
M152.2	AIC	0.00
M152.2	DAVID	0.0
M152.1	DF	0.00
M152.1	Ganesan	0.00
M152.1	LC	0.00
M152.1	PS	0.00
M152.1	Zhou	0.00
M152.1	Resnik	0.00
M152.1	Lin	0.00
M152.1	Nunivers	0.00
M152.1	AIC	0.00
M152.1	DAVID	0.0
M5.1	DF	80.00
M5.1	Ganesan	76.00
M5.1	LC	72.00
M5.1	PS	80.00
M5.1	Zhou	76.00
M5.1	Resnik	76.00
M5.1	Lin	72.00
M5.1	Nunivers	80.00
M5.1	AIC	80.00
M5.1	DAVID	72.0
M152.0	DF	0.00
M152.0	Ganesan	0.00
M152.0	LC	0.00
M152.0	PS	0.00
M152.0	Zhou	0.00
M152.0	Resnik	0.00
M152.0	Lin	0.00
M152.0	Nunivers	0.00
M152.0	AIC	0.00
M152.0	DAVID	100.0
M5.0	DF	97.53
M5.0	Ganesan	97.53
M5.0	LC	98.77
M5.0	PS	97.53
M5.0	Zhou	0.00
M5.0	Resnik	97.53
M5.0	Lin	97.53
M5.0	Nunivers	97.53
M5.0	AIC	96.30
M5.0	DAVID	98.76543209876543
M219	DF	83.33
M219	Ganesan	100.00
M219	LC	0.00
M219	PS	61.11
M219	Zhou	0.00
M219	Resnik	61.11
M219	Lin	61.11
M219	Nunivers	83.33
M219	AIC	83.33
M219	DAVID	100.0
M218	DF	0.00
M218	Ganesan	0.00
M218	LC	0.00
M218	PS	0.00
M218	Zhou	0.00
M218	Resnik	0.00
M218	Lin	0.00
M218	Nunivers	0.00
M218	AIC	0.00
M218	DAVID	0.0
M217	DF	0.00
M217	Ganesan	0.00
M217	LC	0.00
M217	PS	0.00
M217	Zhou	0.00
M217	Resnik	0.00
M217	Lin	0.00
M217	Nunivers	0.00
M217	AIC	0.00
M217	DAVID	0.0
M216	DF	100.00
M216	Ganesan	33.33
M216	LC	50.00
M216	PS	50.00
M216	Zhou	50.00
M216	Resnik	100.00
M216	Lin	100.00
M216	Nunivers	100.00
M216	AIC	100.00
M216	DAVID	100.0
M215	DF	93.75
M215	Ganesan	93.75
M215	LC	93.75
M215	PS	93.75
M215	Zhou	93.75
M215	Resnik	93.75
M215	Lin	93.75
M215	Nunivers	93.75
M215	AIC	93.75
M215	DAVID	93.75
M214	DF	0.00
M214	Ganesan	0.00
M214	LC	0.00
M214	PS	0.00
M214	Zhou	0.00
M214	Resnik	0.00
M214	Lin	0.00
M214	Nunivers	0.00
M214	AIC	0.00
M214	DAVID	0.0
M213	DF	66.67
M213	Ganesan	0.00
M213	LC	0.00
M213	PS	52.38
M213	Zhou	0.00
M213	Resnik	52.38
M213	Lin	71.43
M213	Nunivers	66.67
M213	AIC	52.38
M213	DAVID	38.095238095238095
M212	DF	83.33
M212	Ganesan	58.33
M212	LC	0.00
M212	PS	91.67
M212	Zhou	0.00
M212	Resnik	33.33
M212	Lin	58.33
M212	Nunivers	83.33
M212	AIC	83.33
M212	DAVID	83.33333333333334
M211	DF	0.00
M211	Ganesan	0.00
M211	LC	0.00
M211	PS	0.00
M211	Zhou	0.00
M211	Resnik	0.00
M211	Lin	0.00
M211	Nunivers	0.00
M211	AIC	0.00
M211	DAVID	0.0
M210	DF	81.25
M210	Ganesan	37.50
M210	LC	37.50
M210	PS	40.62
M210	Zhou	0.00
M210	Resnik	62.50
M210	Lin	65.62
M210	Nunivers	81.25
M210	AIC	81.25
M210	DAVID	78.125
M199	DF	46.15
M199	Ganesan	46.15
M199	LC	30.77
M199	PS	30.77
M199	Zhou	30.77
M199	Resnik	46.15
M199	Lin	46.15
M199	Nunivers	46.15
M199	AIC	46.15
M199	DAVID	61.53846153846154
M198	DF	0.00
M198	Ganesan	0.00
M198	LC	0.00
M198	PS	0.00
M198	Zhou	0.00
