Module	SS	Quartile	type	variable	value
M6.4	DAVID	Q2	terms	rep_inc	24.137931034482758
M6.4	DAVID	Q2	genes	rep_inc	36.61971830985915
M6.4	DAVID	Q3	terms	rep_inc	17.24137931034483
M6.4	DAVID	Q3	genes	rep_inc	21.12676056338028
M6.3	DF	Q0	terms	rep	30.73170731707317
M6.3	DF	Q0	genes	rep	100.0
M6.3	DF	Q1	terms	rep_inc	24.878048780487806
M6.3	DF	Q1	genes	rep_inc	97.43589743589743
M6.3	DF	Q2	terms	rep_inc	11.707317073170731
M6.3	DF	Q2	genes	rep_inc	84.61538461538461
M6.3	DF	Q3	terms	rep_inc	3.4146341463414633
M6.3	DF	Q3	genes	rep_inc	47.43589743589744
M6.3	Ganesan	Q0	terms	rep	26.363636363636363
M6.3	Ganesan	Q0	genes	rep	97.43589743589743
M6.3	Ganesan	Q1	terms	rep_inc	19.545454545454547
M6.3	Ganesan	Q1	genes	rep_inc	93.58974358974359
M6.3	Ganesan	Q2	terms	rep_inc	5.454545454545454
M6.3	Ganesan	Q2	genes	rep_inc	75.64102564102564
M6.3	Ganesan	Q3	terms	rep_inc	1.8181818181818181
M6.3	Ganesan	Q3	genes	rep_inc	46.15384615384615
M6.3	LC	Q0	terms	rep	39.02439024390244
M6.3	LC	Q0	genes	rep	100.0
M6.3	LC	Q1	terms	rep_inc	0.0
M6.3	LC	Q1	genes	rep_inc	0.0
M6.3	LC	Q2	terms	rep_inc	0.0
M6.3	LC	Q2	genes	rep_inc	0.0
M6.3	LC	Q3	terms	rep_inc	0.0
M6.3	LC	Q3	genes	rep_inc	0.0
M6.3	PS	Q0	terms	rep	24.814814814814813
M6.3	PS	Q0	genes	rep	98.71794871794872
M6.3	PS	Q1	terms	rep_inc	20.74074074074074
M6.3	PS	Q1	genes	rep_inc	94.87179487179488
M6.3	PS	Q2	terms	rep_inc	7.777777777777778
M6.3	PS	Q2	genes	rep_inc	82.05128205128206
M6.3	PS	Q3	terms	rep_inc	0.7407407407407407
M6.3	PS	Q3	genes	rep_inc	38.46153846153846
M6.3	Zhou	Q0	terms	rep	57.89473684210526
M6.3	Zhou	Q0	genes	rep	100.0
M6.3	Zhou	Q1	terms	rep_inc	5.2631578947368425
M6.3	Zhou	Q1	genes	rep_inc	7.6923076923076925
M6.3	Zhou	Q2	terms	rep_inc	0.0
M6.3	Zhou	Q2	genes	rep_inc	0.0
M6.3	Zhou	Q3	terms	rep_inc	0.0
M6.3	Zhou	Q3	genes	rep_inc	0.0
M6.3	Resnik	Q0	terms	rep	40.654205607476634
M6.3	Resnik	Q0	genes	rep	98.71794871794872
M6.3	Resnik	Q1	terms	rep_inc	29.439252336448597
M6.3	Resnik	Q1	genes	rep_inc	92.3076923076923
M6.3	Resnik	Q2	terms	rep_inc	15.88785046728972
M6.3	Resnik	Q2	genes	rep_inc	83.33333333333333
M6.3	Resnik	Q3	terms	rep_inc	5.607476635514018
M6.3	Resnik	Q3	genes	rep_inc	55.12820512820513
M6.3	Lin	Q0	terms	rep	27.73109243697479
M6.3	Lin	Q0	genes	rep	97.43589743589743
M6.3	Lin	Q1	terms	rep_inc	18.907563025210084
M6.3	Lin	Q1	genes	rep_inc	89.74358974358974
M6.3	Lin	Q2	terms	rep_inc	8.823529411764707
M6.3	Lin	Q2	genes	rep_inc	74.35897435897436
M6.3	Lin	Q3	terms	rep_inc	2.5210084033613445
M6.3	Lin	Q3	genes	rep_inc	48.717948717948715
M6.3	Nunivers	Q0	terms	rep	25.10822510822511
M6.3	Nunivers	Q0	genes	rep	98.71794871794872
M6.3	Nunivers	Q1	terms	rep_inc	22.51082251082251
M6.3	Nunivers	Q1	genes	rep_inc	96.15384615384616
M6.3	Nunivers	Q2	terms	rep_inc	11.255411255411255
M6.3	Nunivers	Q2	genes	rep_inc	84.61538461538461
M6.3	Nunivers	Q3	terms	rep_inc	3.896103896103896
M6.3	Nunivers	Q3	genes	rep_inc	52.56410256410256
M6.3	AIC	Q0	terms	rep	31.770833333333332
M6.3	AIC	Q0	genes	rep	100.0
M6.3	AIC	Q1	terms	rep_inc	26.041666666666668
M6.3	AIC	Q1	genes	rep_inc	96.15384615384616
M6.3	AIC	Q2	terms	rep_inc	11.458333333333334
M6.3	AIC	Q2	genes	rep_inc	84.61538461538461
M6.3	AIC	Q3	terms	rep_inc	4.166666666666667
M6.3	AIC	Q3	genes	rep_inc	50.0
M6.3	DAVID	Q0	terms	rep	36.36363636363637
M6.3	DAVID	Q0	genes	rep	55.12820512820513
M6.3	DAVID	Q1	terms	rep_inc	33.333333333333336
M6.3	DAVID	Q1	genes	rep_inc	53.84615384615385
M6.3	DAVID	Q2	terms	rep_inc	21.21212121212121
M6.3	DAVID	Q2	genes	rep_inc	43.58974358974359
M6.3	DAVID	Q3	terms	rep_inc	18.181818181818183
M6.3	DAVID	Q3	genes	rep_inc	39.743589743589745
M6.2	DF	Q0	terms	rep	36.30952380952381
M6.2	DF	Q0	genes	rep	98.31932773109244
M6.2	DF	Q1	terms	rep_inc	30.357142857142858
M6.2	DF	Q1	genes	rep_inc	95.7983193277311
M6.2	DF	Q2	terms	rep_inc	16.666666666666668
M6.2	DF	Q2	genes	rep_inc	70.58823529411765
M6.2	DF	Q3	terms	rep_inc	6.5476190476190474
M6.2	DF	Q3	genes	rep_inc	36.134453781512605
M6.2	Ganesan	Q0	terms	rep	38.372093023255815
M6.2	Ganesan	Q0	genes	rep	98.31932773109244
M6.2	Ganesan	Q1	terms	rep_inc	28.488372093023255
M6.2	Ganesan	Q1	genes	rep_inc	91.59663865546219
M6.2	Ganesan	Q2	terms	rep_inc	14.534883720930232
M6.2	Ganesan	Q2	genes	rep_inc	69.74789915966386
M6.2	Ganesan	Q3	terms	rep_inc	5.813953488372093
M6.2	Ganesan	Q3	genes	rep_inc	40.33613445378151
M6.2	LC	Q0	terms	rep	43.47826086956522
M6.2	LC	Q0	genes	rep	100.0
M6.2	LC	Q1	terms	rep_inc	0.0
M6.2	LC	Q1	genes	rep_inc	0.0
M6.2	LC	Q2	terms	rep_inc	0.0
M6.2	LC	Q2	genes	rep_inc	0.0
M6.2	LC	Q3	terms	rep_inc	0.0
M6.2	LC	Q3	genes	rep_inc	0.0
M6.2	PS	Q0	terms	rep	46.15384615384615
M6.2	PS	Q0	genes	rep	100.0
M6.2	PS	Q1	terms	rep_inc	7.6923076923076925
M6.2	PS	Q1	genes	rep_inc	7.563025210084033
M6.2	PS	Q2	terms	rep_inc	3.8461538461538463
M6.2	PS	Q2	genes	rep_inc	3.361344537815126
M6.2	PS	Q3	terms	rep_inc	0.0
M6.2	PS	Q3	genes	rep_inc	0.0
M6.2	Zhou	Q0	terms	rep	69.23076923076923
M6.2	Zhou	Q0	genes	rep	100.0
M6.2	Zhou	Q1	terms	rep_inc	0.0
M6.2	Zhou	Q1	genes	rep_inc	0.0
M6.2	Zhou	Q2	terms	rep_inc	0.0
M6.2	Zhou	Q2	genes	rep_inc	0.0
M6.2	Zhou	Q3	terms	rep_inc	0.0
M6.2	Zhou	Q3	genes	rep_inc	0.0
M6.2	Resnik	Q0	terms	rep	50.285714285714285
M6.2	Resnik	Q0	genes	rep	100.0
M6.2	Resnik	Q1	terms	rep_inc	36.0
M6.2	Resnik	Q1	genes	rep_inc	89.91596638655462
M6.2	Resnik	Q2	terms	rep_inc	18.285714285714285
M6.2	Resnik	Q2	genes	rep_inc	57.983193277310924
M6.2	Resnik	Q3	terms	rep_inc	8.0
M6.2	Resnik	Q3	genes	rep_inc	24.369747899159663
M6.2	Lin	Q0	terms	rep	42.32804232804233
M6.2	Lin	Q0	genes	rep	96.63865546218487
M6.2	Lin	Q1	terms	rep_inc	26.984126984126984
M6.2	Lin	Q1	genes	rep_inc	83.19327731092437
M6.2	Lin	Q2	terms	rep_inc	13.227513227513228
M6.2	Lin	Q2	genes	rep_inc	62.18487394957983
M6.2	Lin	Q3	terms	rep_inc	4.761904761904762
M6.2	Lin	Q3	genes	rep_inc	31.932773109243698
M6.2	Nunivers	Q0	terms	rep	36.19631901840491
M6.2	Nunivers	Q0	genes	rep	100.0
M6.2	Nunivers	Q1	terms	rep_inc	30.061349693251532
M6.2	Nunivers	Q1	genes	rep_inc	96.63865546218487
M6.2	Nunivers	Q2	terms	rep_inc	16.56441717791411
M6.2	Nunivers	Q2	genes	rep_inc	64.70588235294117
M6.2	Nunivers	Q3	terms	rep_inc	8.588957055214724
M6.2	Nunivers	Q3	genes	rep_inc	35.294117647058826
M6.2	AIC	Q0	terms	rep	35.294117647058826
M6.2	AIC	Q0	genes	rep	97.47899159663865
M6.2	AIC	Q1	terms	rep_inc	30.0
M6.2	AIC	Q1	genes	rep_inc	95.7983193277311
M6.2	AIC	Q2	terms	rep_inc	15.882352941176471
M6.2	AIC	Q2	genes	rep_inc	70.58823529411765
M6.2	AIC	Q3	terms	rep_inc	6.470588235294118
M6.2	AIC	Q3	genes	rep_inc	36.134453781512605
M6.2	DAVID	Q0	terms	rep	51.282051282051285
M6.2	DAVID	Q0	genes	rep	51.260504201680675
M6.2	DAVID	Q1	terms	rep_inc	48.717948717948715
M6.2	DAVID	Q1	genes	rep_inc	49.57983193277311
M6.2	DAVID	Q2	terms	rep_inc	41.02564102564103
M6.2	DAVID	Q2	genes	rep_inc	45.378151260504204
M6.2	DAVID	Q3	terms	rep_inc	20.512820512820515
M6.2	DAVID	Q3	genes	rep_inc	23.529411764705884
M6.1	DF	Q0	terms	rep	24.242424242424242
M6.1	DF	Q0	genes	rep	97.29729729729729
M6.1	DF	Q1	terms	rep_inc	19.19191919191919
M6.1	DF	Q1	genes	rep_inc	86.48648648648648
M6.1	DF	Q2	terms	rep_inc	10.1010101010101
M6.1	DF	Q2	genes	rep_inc	64.86486486486487
M6.1	DF	Q3	terms	rep_inc	4.040404040404041
M6.1	DF	Q3	genes	rep_inc	40.54054054054054
M6.1	Ganesan	Q0	terms	rep	23.14814814814815
M6.1	Ganesan	Q0	genes	rep	94.5945945945946
M6.1	Ganesan	Q1	terms	rep_inc	20.37037037037037
M6.1	Ganesan	Q1	genes	rep_inc	91.89189189189189
M6.1	Ganesan	Q2	terms	rep_inc	8.333333333333334
M6.1	Ganesan	Q2	genes	rep_inc	64.86486486486487
M6.1	Ganesan	Q3	terms	rep_inc	2.7777777777777777
M6.1	Ganesan	Q3	genes	rep_inc	40.54054054054054
M6.1	LC	Q0	terms	rep	50.0
M6.1	LC	Q0	genes	rep	100.0
M6.1	LC	Q1	terms	rep_inc	0.0
M6.1	LC	Q1	genes	rep_inc	0.0
M6.1	LC	Q2	terms	rep_inc	0.0
M6.1	LC	Q2	genes	rep_inc	0.0
M6.1	LC	Q3	terms	rep_inc	0.0
M6.1	LC	Q3	genes	rep_inc	0.0
M6.1	PS	Q0	terms	rep	28.72340425531915
M6.1	PS	Q0	genes	rep	100.0
M6.1	PS	Q1	terms	rep_inc	15.957446808510639
M6.1	PS	Q1	genes	rep_inc	86.48648648648648
M6.1	PS	Q2	terms	rep_inc	6.382978723404255
M6.1	PS	Q2	genes	rep_inc	51.351351351351354
M6.1	PS	Q3	terms	rep_inc	1.0638297872340425
M6.1	PS	Q3	genes	rep_inc	8.108108108108109
M6.1	Zhou	Q0	terms	rep	63.63636363636363
M6.1	Zhou	Q0	genes	rep	100.0
M6.1	Zhou	Q1	terms	rep_inc	0.0
M6.1	Zhou	Q1	genes	rep_inc	0.0
M6.1	Zhou	Q2	terms	rep_inc	0.0
M6.1	Zhou	Q2	genes	rep_inc	0.0
M6.1	Zhou	Q3	terms	rep_inc	0.0
M6.1	Zhou	Q3	genes	rep_inc	0.0
M6.1	Resnik	Q0	terms	rep	64.70588235294117
M6.1	Resnik	Q0	genes	rep	97.29729729729729
M6.1	Resnik	Q1	terms	rep_inc	20.58823529411765
M6.1	Resnik	Q1	genes	rep_inc	70.27027027027027
M6.1	Resnik	Q2	terms	rep_inc	5.882352941176471
M6.1	Resnik	Q2	genes	rep_inc	37.83783783783784
M6.1	Resnik	Q3	terms	rep_inc	0.0
M6.1	Resnik	Q3	genes	rep_inc	0.0
M6.1	Lin	Q0	terms	rep	26.804123711340207
M6.1	Lin	Q0	genes	rep	94.5945945945946
M6.1	Lin	Q1	terms	rep_inc	18.556701030927837
M6.1	Lin	Q1	genes	rep_inc	83.78378378378379
M6.1	Lin	Q2	terms	rep_inc	6.185567010309279
M6.1	Lin	Q2	genes	rep_inc	59.45945945945946
M6.1	Lin	Q3	terms	rep_inc	3.0927835051546393
M6.1	Lin	Q3	genes	rep_inc	40.54054054054054
M6.1	Nunivers	Q0	terms	rep	31.764705882352942
M6.1	Nunivers	Q0	genes	rep	100.0
M6.1	Nunivers	Q1	terms	rep_inc	21.176470588235293
M6.1	Nunivers	Q1	genes	rep_inc	86.48648648648648
M6.1	Nunivers	Q2	terms	rep_inc	14.117647058823529
M6.1	Nunivers	Q2	genes	rep_inc	64.86486486486487
M6.1	Nunivers	Q3	terms	rep_inc	5.882352941176471
M6.1	Nunivers	Q3	genes	rep_inc	40.54054054054054
M6.1	AIC	Q0	terms	rep	32.432432432432435
M6.1	AIC	Q0	genes	rep	100.0
M6.1	AIC	Q1	terms	rep_inc	21.62162162162162
M6.1	AIC	Q1	genes	rep_inc	86.48648648648648
M6.1	AIC	Q2	terms	rep_inc	8.108108108108109
M6.1	AIC	Q2	genes	rep_inc	59.45945945945946
M6.1	AIC	Q3	terms	rep_inc	2.7027027027027026
M6.1	AIC	Q3	genes	rep_inc	43.24324324324324
M6.1	DAVID	Q0	terms	rep	0.0
M6.1	DAVID	Q0	genes	rep	0.0
M6.1	DAVID	Q1	terms	rep_inc	0.0
M6.1	DAVID	Q1	genes	rep_inc	0.0
M6.1	DAVID	Q2	terms	rep_inc	0.0
M6.1	DAVID	Q2	genes	rep_inc	0.0
M6.1	DAVID	Q3	terms	rep_inc	0.0
M6.1	DAVID	Q3	genes	rep_inc	0.0
M9.52	DF	Q0	terms	rep	0.0
M9.52	DF	Q0	genes	rep	0.0
M9.52	DF	Q1	terms	rep_inc	0.0
M9.52	DF	Q1	genes	rep_inc	0.0
M9.52	DF	Q2	terms	rep_inc	0.0
M9.52	DF	Q2	genes	rep_inc	0.0
M9.52	DF	Q3	terms	rep_inc	0.0
M9.52	DF	Q3	genes	rep_inc	0.0
M9.52	Ganesan	Q0	terms	rep	33.333333333333336
M9.52	Ganesan	Q0	genes	rep	100.0
M9.52	Ganesan	Q1	terms	rep_inc	0.0
M9.52	Ganesan	Q1	genes	rep_inc	0.0
M9.52	Ganesan	Q2	terms	rep_inc	0.0
M9.52	Ganesan	Q2	genes	rep_inc	0.0
M9.52	Ganesan	Q3	terms	rep_inc	0.0
M9.52	Ganesan	Q3	genes	rep_inc	0.0
M9.52	LC	Q0	terms	rep	40.0
M9.52	LC	Q0	genes	rep	100.0
M9.52	LC	Q1	terms	rep_inc	0.0
M9.52	LC	Q1	genes	rep_inc	0.0
M9.52	LC	Q2	terms	rep_inc	0.0
M9.52	LC	Q2	genes	rep_inc	0.0
M9.52	LC	Q3	terms	rep_inc	0.0
M9.52	LC	Q3	genes	rep_inc	0.0
M9.52	PS	Q0	terms	rep	28.571428571428573
M9.52	PS	Q0	genes	rep	100.0
M9.52	PS	Q1	terms	rep_inc	0.0
M9.52	PS	Q1	genes	rep_inc	0.0
M9.52	PS	Q2	terms	rep_inc	0.0
M9.52	PS	Q2	genes	rep_inc	0.0
M9.52	PS	Q3	terms	rep_inc	0.0
M9.52	PS	Q3	genes	rep_inc	0.0
M9.52	Zhou	Q0	terms	rep	40.0
M9.52	Zhou	Q0	genes	rep	100.0
M9.52	Zhou	Q1	terms	rep_inc	0.0
M9.52	Zhou	Q1	genes	rep_inc	0.0
M9.52	Zhou	Q2	terms	rep_inc	0.0
M9.52	Zhou	Q2	genes	rep_inc	0.0
M9.52	Zhou	Q3	terms	rep_inc	0.0
M9.52	Zhou	Q3	genes	rep_inc	0.0
M9.52	Resnik	Q0	terms	rep	0.0
M9.52	Resnik	Q0	genes	rep	0.0
M9.52	Resnik	Q1	terms	rep_inc	0.0
M9.52	Resnik	Q1	genes	rep_inc	0.0
M9.52	Resnik	Q2	terms	rep_inc	0.0
M9.52	Resnik	Q2	genes	rep_inc	0.0
M9.52	Resnik	Q3	terms	rep_inc	0.0
M9.52	Resnik	Q3	genes	rep_inc	0.0
M9.52	Lin	Q0	terms	rep	0.0
M9.52	Lin	Q0	genes	rep	0.0
M9.52	Lin	Q1	terms	rep_inc	0.0
M9.52	Lin	Q1	genes	rep_inc	0.0
M9.52	Lin	Q2	terms	rep_inc	0.0
M9.52	Lin	Q2	genes	rep_inc	0.0
M9.52	Lin	Q3	terms	rep_inc	0.0
M9.52	Lin	Q3	genes	rep_inc	0.0
M9.52	Nunivers	Q0	terms	rep	0.0
M9.52	Nunivers	Q0	genes	rep	0.0
M9.52	Nunivers	Q1	terms	rep_inc	0.0
M9.52	Nunivers	Q1	genes	rep_inc	0.0
M9.52	Nunivers	Q2	terms	rep_inc	0.0
M9.52	Nunivers	Q2	genes	rep_inc	0.0
M9.52	Nunivers	Q3	terms	rep_inc	0.0
M9.52	Nunivers	Q3	genes	rep_inc	0.0
M9.52	AIC	Q0	terms	rep	0.0
M9.52	AIC	Q0	genes	rep	0.0
M9.52	AIC	Q1	terms	rep_inc	0.0
M9.52	AIC	Q1	genes	rep_inc	0.0
M9.52	AIC	Q2	terms	rep_inc	0.0
M9.52	AIC	Q2	genes	rep_inc	0.0
M9.52	AIC	Q3	terms	rep_inc	0.0
M9.52	AIC	Q3	genes	rep_inc	0.0
M9.52	DAVID	Q0	terms	rep	NaN
M9.52	DAVID	Q0	genes	rep	0.0
M9.52	DAVID	Q1	terms	rep_inc	NaN
M9.52	DAVID	Q1	genes	rep_inc	0.0
M9.52	DAVID	Q2	terms	rep_inc	NaN
M9.52	DAVID	Q2	genes	rep_inc	0.0
M9.52	DAVID	Q3	terms	rep_inc	NaN
M9.52	DAVID	Q3	genes	rep_inc	0.0
M9.51	DF	Q0	terms	rep	25.714285714285715
M9.51	DF	Q0	genes	rep	100.0
M9.51	DF	Q1	terms	rep_inc	20.0
M9.51	DF	Q1	genes	rep_inc	100.0
M9.51	DF	Q2	terms	rep_inc	5.714285714285714
M9.51	DF	Q2	genes	rep_inc	85.71428571428571
M9.51	DF	Q3	terms	rep_inc	0.0
M9.51	DF	Q3	genes	rep_inc	0.0
M9.51	Ganesan	Q0	terms	rep	27.027027027027028
M9.51	Ganesan	Q0	genes	rep	100.0
M9.51	Ganesan	Q1	terms	rep_inc	16.216216216216218
M9.51	Ganesan	Q1	genes	rep_inc	100.0
M9.51	Ganesan	Q2	terms	rep_inc	5.405405405405405
M9.51	Ganesan	Q2	genes	rep_inc	85.71428571428571
M9.51	Ganesan	Q3	terms	rep_inc	0.0
M9.51	Ganesan	Q3	genes	rep_inc	0.0
M9.51	LC	Q0	terms	rep	50.0
M9.51	LC	Q0	genes	rep	100.0
M9.51	LC	Q1	terms	rep_inc	0.0
M9.51	LC	Q1	genes	rep_inc	0.0
M9.51	LC	Q2	terms	rep_inc	0.0
M9.51	LC	Q2	genes	rep_inc	0.0
M9.51	LC	Q3	terms	rep_inc	0.0
M9.51	LC	Q3	genes	rep_inc	0.0
M9.51	PS	Q0	terms	rep	24.324324324324323
M9.51	PS	Q0	genes	rep	100.0
M9.51	PS	Q1	terms	rep_inc	13.513513513513514
M9.51	PS	Q1	genes	rep_inc	100.0
M9.51	PS	Q2	terms	rep_inc	5.405405405405405
M9.51	PS	Q2	genes	rep_inc	85.71428571428571
M9.51	PS	Q3	terms	rep_inc	0.0
M9.51	PS	Q3	genes	rep_inc	0.0
M9.51	Zhou	Q0	terms	rep	80.0
M9.51	Zhou	Q0	genes	rep	100.0
M9.51	Zhou	Q1	terms	rep_inc	10.0
M9.51	Zhou	Q1	genes	rep_inc	42.857142857142854
M9.51	Zhou	Q2	terms	rep_inc	0.0
M9.51	Zhou	Q2	genes	rep_inc	0.0
M9.51	Zhou	Q3	terms	rep_inc	0.0
M9.51	Zhou	Q3	genes	rep_inc	0.0
M9.51	Resnik	Q0	terms	rep	12.820512820512821
M9.51	Resnik	Q0	genes	rep	100.0
M9.51	Resnik	Q1	terms	rep_inc	2.5641025641025643
M9.51	Resnik	Q1	genes	rep_inc	57.142857142857146
M9.51	Resnik	Q2	terms	rep_inc	2.5641025641025643
M9.51	Resnik	Q2	genes	rep_inc	57.142857142857146
M9.51	Resnik	Q3	terms	rep_inc	0.0
M9.51	Resnik	Q3	genes	rep_inc	0.0
M9.51	Lin	Q0	terms	rep	31.25
M9.51	Lin	Q0	genes	rep	100.0
M9.51	Lin	Q1	terms	rep_inc	9.375
M9.51	Lin	Q1	genes	rep_inc	100.0
M9.51	Lin	Q2	terms	rep_inc	3.125
M9.51	Lin	Q2	genes	rep_inc	57.142857142857146
M9.51	Lin	Q3	terms	rep_inc	0.0
M9.51	Lin	Q3	genes	rep_inc	0.0
M9.51	Nunivers	Q0	terms	rep	16.27906976744186
M9.51	Nunivers	Q0	genes	rep	100.0
M9.51	Nunivers	Q1	terms	rep_inc	13.953488372093023
M9.51	Nunivers	Q1	genes	rep_inc	100.0
M9.51	Nunivers	Q2	terms	rep_inc	4.651162790697675
M9.51	Nunivers	Q2	genes	rep_inc	85.71428571428571
M9.51	Nunivers	Q3	terms	rep_inc	0.0
M9.51	Nunivers	Q3	genes	rep_inc	0.0
M9.51	AIC	Q0	terms	rep	25.714285714285715
M9.51	AIC	Q0	genes	rep	100.0
M9.51	AIC	Q1	terms	rep_inc	20.0
M9.51	AIC	Q1	genes	rep_inc	100.0
M9.51	AIC	Q2	terms	rep_inc	5.714285714285714
M9.51	AIC	Q2	genes	rep_inc	85.71428571428571
M9.51	AIC	Q3	terms	rep_inc	0.0
M9.51	AIC	Q3	genes	rep_inc	0.0
M9.51	DAVID	Q0	terms	rep	0.0
M9.51	DAVID	Q0	genes	rep	0.0
M9.51	DAVID	Q1	terms	rep_inc	0.0
M9.51	DAVID	Q1	genes	rep_inc	0.0
M9.51	DAVID	Q2	terms	rep_inc	0.0
M9.51	DAVID	Q2	genes	rep_inc	0.0
M9.51	DAVID	Q3	terms	rep_inc	0.0
M9.51	DAVID	Q3	genes	rep_inc	0.0
M9.50	DF	Q0	terms	rep	9.090909090909092
M9.50	DF	Q0	genes	rep	71.42857142857143
M9.50	DF	Q1	terms	rep_inc	0.0
M9.50	DF	Q1	genes	rep_inc	0.0
M9.50	DF	Q2	terms	rep_inc	0.0
M9.50	DF	Q2	genes	rep_inc	0.0
M9.50	DF	Q3	terms	rep_inc	0.0
M9.50	DF	Q3	genes	rep_inc	0.0
M9.50	Ganesan	Q0	terms	rep	14.285714285714286
M9.50	Ganesan	Q0	genes	rep	100.0
M9.50	Ganesan	Q1	terms	rep_inc	4.761904761904762
M9.50	Ganesan	Q1	genes	rep_inc	42.857142857142854
M9.50	Ganesan	Q2	terms	rep_inc	4.761904761904762
M9.50	Ganesan	Q2	genes	rep_inc	42.857142857142854
M9.50	Ganesan	Q3	terms	rep_inc	0.0
M9.50	Ganesan	Q3	genes	rep_inc	0.0
M9.50	LC	Q0	terms	rep	57.142857142857146
M9.50	LC	Q0	genes	rep	100.0
M9.50	LC	Q1	terms	rep_inc	0.0
M9.50	LC	Q1	genes	rep_inc	0.0
M9.50	LC	Q2	terms	rep_inc	0.0
